Scenario,Avg Travel Time,Median Travel Time,Avg Waiting Time,Max Waiting Time,Avg Speed,Vehicles per Hour,Route Efficiency
Base Case,23.701666666666668,21.0,9.315,34.0,5.309347007238404,1204.0133779264213,0.3822424051287548
Optimized Lights,23.76214405360134,19.0,9.4463986599665,46.0,5.468344828510437,1197.9933110367892,0.393689332506151
No Traffic Lights,27.22986577181208,21.5,13.095637583892618,46.0,5.233670116661583,1195.9866220735785,0.37679410487124426
